nome;regional;macroregional
Antonina;1;Leste
Guaraqueçaba;1;Leste
Guaratuba;1;Leste
Matinhos;1;Leste
Morretes;1;Leste
Paranaguá;1;Leste
Pontal do Paraná;1;Leste
Adrianópolis;2;Leste
Agudos do Sul;2;Leste
Almirante Tamandaré;2;Leste
Araucária;2;Leste
Balsa Nova;2;Leste
Bocaiúva do Sul;2;Leste
Campina Grande do Sul;2;Leste
Campo do Tenente;2;Leste
Campo Largo;2;Leste
Campo Magro;2;Leste
Cerro Azul;2;Leste
Colombo;2;Leste
Contenda;2;Leste
Curitiba;2;Leste
Doutor Ulysses;2;Leste
Fazenda Rio Grande;2;Leste
Itaperuçu;2;Leste
Lapa;2;Leste
Mandirituba;2;Leste
Piên;2;Leste
Pinhais;2;Leste
Piraquara;2;Leste
Quatro Barras;2;Leste
Quitandinha;2;Leste
Rio Branco do Sul;2;Leste
Rio Negro;2;Leste
São José dos Pinhais;2;Leste
Tijucas do Sul;2;Leste
Tunas do Paraná;2;Leste
Arapoti;3;Leste
Carambeí;3;Leste
Castro;3;Leste
Ipiranga;3;Leste
Ivaí;3;Leste
Jaguariaíva;3;Leste
Palmeira;3;Leste
Piraí do Sul;3;Leste
Ponta Grossa;3;Leste
Porto Amazonas;3;Leste
São João do Triunfo;3;Leste
Sengés;3;Leste
Fernandes Pinheiro;4;Leste
Guamiranga;4;Leste
Imbituva;4;Leste
Inácio Martins;4;Leste
Irati;4;Leste
Mallet;4;Leste
Rebouças;4;Leste
Rio Azul;4;Leste
Teixeira Soares;4;Leste
Boa Ventura de São Roque;5;Leste
Campina do Simão;5;Leste
Candói;5;Leste
Cantagalo;5;Leste
Foz do Jordão;5;Leste
Goioxim;5;Leste
Guarapuava;5;Leste
Laranjal;5;Leste
Laranjeiras do Sul;5;Leste
Marquinho;5;Leste
Nova Laranjeiras;5;Leste
Palmital;5;Leste
Pinhão;5;Leste
Pitanga;5;Leste
Porto Barreiro;5;Leste
Prudentópolis;5;Leste
Reserva do Iguaçu;5;Leste
Rio Bonito do Iguaçu;5;Leste
Turvo;5;Leste
Virmond;5;Leste
Antônio Olinto;6;Leste
Bituruna;6;Leste
Cruz Machado;6;Leste
General Carneiro;6;Leste
Paula Freitas;6;Leste
Paulo Frontin;6;Leste
Porto Vitória;6;Leste
São Mateus do Sul;6;Leste
União da Vitória;6;Leste
Bom Sucesso do Sul;7;Leste
Chopinzinho;7;Leste
Clevelândia;7;Leste
Coronel Domingos Soares;7;Leste
Coronel Vivida;7;Leste
Honório Serpa;7;Leste
Itapejara d'Oeste;7;Leste
Mangueirinha;7;Leste
Mariópolis;7;Leste
Palmas;7;Leste
Pato Branco;7;Leste
São João;7;Leste
Saudade do Iguaçu;7;Leste
Sulina;7;Leste
Vitorino;7;Leste
Ampére;8;Oeste
Barracão;8;Oeste
Bela Vista do Carobá;8;Oeste
Boa Esperança do Iguaçu;8;Oeste
Bom Jesus do Sul;8;Oeste
Capanema;8;Oeste
Cruzeiro do Iguaçu;8;Oeste
Dois Vizinhos;8;Oeste
Enéas Marques;8;Oeste
Flor da Serra do Sul;8;Oeste
Francisco Beltrão;8;Oeste
Manfrinópolis;8;Oeste
Marmeleiro;8;Oeste
Nova Esperança do Sudoeste;8;Oeste
Nova Prata do Iguaçu;8;Oeste
Pérola d'Oeste;8;Oeste
Pinhal de São Bento;8;Oeste
Planalto;8;Oeste
Pranchita;8;Oeste
Realeza;8;Oeste
Renascença;8;Oeste
Salgado Filho;8;Oeste
Salto do Lontra;8;Oeste
Santa Izabel do Oeste;8;Oeste
Santo Antônio do Sudoeste;8;Oeste
Sao Jorge d'Oeste;8;Oeste
Verê;8;Oeste
Foz do Iguaçu;9;Oeste
Itaipulândia;9;Oeste
Matelândia;9;Oeste
Medianeira;9;Oeste
Missal;9;Oeste
Ramilândia;9;Oeste
Santa Terezinha de Itaipu;9;Oeste
São Miguel do Iguaçu;9;Oeste
Serranópolis do Iguaçu;9;Oeste
Anahy;10;Oeste
Boa Vista da Aparecida;10;Oeste
Braganey;10;Oeste
Cafelândia;10;Oeste
Campo Bonito;10;Oeste
Capitão Leônidas Marques;10;Oeste
Cascavel;10;Oeste
Catanduvas;10;Oeste
Céu Azul;10;Oeste
Corbélia;10;Oeste
Diamante do Sul;10;Oeste
Espigão Alto do Iguaçu;10;Oeste
Formosa do Oeste;10;Oeste
Guaraniaçu;10;Oeste
Ibema;10;Oeste
Iguatu;10;Oeste
Iracema do Oeste;10;Oeste
Jesuítas;10;Oeste
Lindoeste;10;Oeste
Nova Aurora;10;Oeste
Quedas do Iguaçu;10;Oeste
Santa Lúcia;10;Oeste
Santa Tereza do Oeste;10;Oeste
Três Barras do Paraná;10;Oeste
Vera Cruz do Oeste;10;Oeste
Altamira do Paraná;11;Noroeste
Araruna;11;Noroeste
Barbosa Ferraz;11;Noroeste
Boa Esperança;11;Noroeste
Campina da Lagoa;11;Noroeste
Campo Mourão;11;Noroeste
Corumbataí do Sul;11;Noroeste
Engenheiro Beltrão;11;Noroeste
Farol;11;Noroeste
Fênix;11;Noroeste
Goioerê;11;Noroeste
Iretama;11;Noroeste
Janiópolis;11;Noroeste
Juranda;11;Noroeste
Luiziana;11;Noroeste
Mamborê;11;Noroeste
Moreira Sales;11;Noroeste
Nova Cantu;11;Noroeste
Peabiru;11;Noroeste
Quarto Centenário;11;Noroeste
Quinta do Sol;11;Noroeste
Rancho Alegre d'Oeste;11;Noroeste
Roncador;11;Noroeste
Terra Boa;11;Noroeste
Ubiratã;11;Noroeste
Alto Paraíso;12;Noroeste
Alto Piquiri;12;Noroeste
Altônia;12;Noroeste
Brasilândia do Sul;12;Noroeste
Cafezal do Sul;12;Noroeste
Cruzeiro do Oeste;12;Noroeste
Douradina;12;Noroeste
Esperança Nova;12;Noroeste
Francisco Alves;12;Noroeste
Icaraíma;12;Noroeste
Iporã;12;Noroeste
Ivaté;12;Noroeste
Maria Helena;12;Noroeste
Mariluz;12;Noroeste
Nova Olímpia;12;Noroeste
Perobal;12;Noroeste
Pérola;12;Noroeste
São Jorge do Patrocínio;12;Noroeste
Tapira;12;Noroeste
Umuarama;12;Noroeste
Xambrê;12;Noroeste
Cianorte;13;Noroeste
Cidade Gaúcha;13;Noroeste
Guaporema;13;Noroeste
Indianópolis;13;Noroeste
Japurá;13;Noroeste
Jussara;13;Noroeste
Rondon;13;Noroeste
São Manoel do Paraná;13;Noroeste
São Tomé;13;Noroeste
Tapejara;13;Noroeste
Tuneiras do Oeste;13;Noroeste
Alto Paraná;14;Noroeste
Amaporã;14;Noroeste
Cruzeiro do Sul;14;Noroeste
Diamante do Norte;14;Noroeste
Guairacá;14;Noroeste
Inajá;14;Noroeste
Itaúna do Sul;14;Noroeste
Jardim Olinda;14;Noroeste
Loanda;14;Noroeste
Marilena;14;Noroeste
Mirador;14;Noroeste
Nova Aliança do Ivaí;14;Noroeste
Nova Londrina;14;Noroeste
Paraíso do Norte;14;Noroeste
Paranapoema;14;Noroeste
Paranavaí;14;Noroeste
Planaltina do Paraná;14;Noroeste
Porto Rico;14;Noroeste
Querência do Norte;14;Noroeste
Santa Cruz de Monte Castelo;14;Noroeste
Santa Isabel do Ivaí;14;Noroeste
Santa Mônica;14;Noroeste
Santo Antônio do Caiuá;14;Noroeste
São Carlos do Ivaí;14;Noroeste
São João do Caiuá;14;Noroeste
São Pedro do Paraná;14;Noroeste
Tamboara;14;Noroeste
Terra Rica;14;Noroeste
Ângulo;15;Noroeste
Astorga;15;Noroeste
