"nome","regional","macroregional"
"Antonina",1,"Leste"
"Guaraquecaba",1,"Leste"
"Guaratuba",1,"Leste"
"Matinhos",1,"Leste"
"Morretes",1,"Leste"
"Paranagua",1,"Leste"
"Pontal do Parana",1,"Leste"
"Adrianopolis",2,"Leste"
"Agudos do Sul",2,"Leste"
"Almirante Tamandare",2,"Leste"
"Araucaria",2,"Leste"
"Balsa Nova",2,"Leste"
"Bocaiuva do Sul",2,"Leste"
"Campina Grande do Sul",2,"Leste"
"Campo do Tenente",2,"Leste"
"Campo Largo",2,"Leste"
"Campo Magro",2,"Leste"
"Cerro Azul",2,"Leste"
"Colombo",2,"Leste"
"Contenda",2,"Leste"
"Curitiba",2,"Leste"
"Doutor Ulysses",2,"Leste"
"Fazenda Rio Grande",2,"Leste"
"Itaperucu",2,"Leste"
"Lapa",2,"Leste"
"Mandirituba",2,"Leste"
"Pien",2,"Leste"
"Pinhais",2,"Leste"
"Piraquara",2,"Leste"
"Quatro Barras",2,"Leste"
"Quitandinha",2,"Leste"
"Rio Branco do Sul",2,"Leste"
"Rio Negro",2,"Leste"
"Sao Jose dos Pinhais",2,"Leste"
"Tijucas do Sul",2,"Leste"
"Tunas do Parana",2,"Leste"
"Arapoti",3,"Leste"
"Carambei",3,"Leste"
"Castro",3,"Leste"
"Ipiranga",3,"Leste"
"Ivai",3,"Leste"
"Jaguariaiva",3,"Leste"
"Palmeira",3,"Leste"
"Pirai do Sul",3,"Leste"
"Ponta Grossa",3,"Leste"
"Porto Amazonas",3,"Leste"
"Sao Joao do Triunfo",3,"Leste"
"Senges",3,"Leste"
"Fernandes Pinheiro",4,"Leste"
"Guamiranga",4,"Leste"
"Imbituva",4,"Leste"
"Inacio Martins",4,"Leste"
"Irati",4,"Leste"
"Mallet",4,"Leste"
"Reboucas",4,"Leste"
"Rio Azul",4,"Leste"
"Teixeira Soares",4,"Leste"
"Boa Ventura de Sao Roque",5,"Leste"
"Campina do Simao",5,"Leste"
"Candoi",5,"Leste"
"Cantagalo",5,"Leste"
"Foz do Jordao",5,"Leste"
"Goioxim",5,"Leste"
"Guarapuava",5,"Leste"
"Laranjal",5,"Leste"
"Laranjeiras do Sul",5,"Leste"
"Marquinho",5,"Leste"
"Nova Laranjeiras",5,"Leste"
"Palmital",5,"Leste"
"Pinhao",5,"Leste"
"Pitanga",5,"Leste"
"Porto Barreiro",5,"Leste"
"Prudentopolis",5,"Leste"
"Reserva do Iguacu",5,"Leste"
"Rio Bonito do Iguacu",5,"Leste"
"Turvo",5,"Leste"
"Virmond",5,"Leste"
"Antonio Olinto",6,"Leste"
"Bituruna",6,"Leste"
"Cruz Machado",6,"Leste"
"General Carneiro",6,"Leste"
"Paula Freitas",6,"Leste"
"Paulo Frontin",6,"Leste"
"Porto Vitoria",6,"Leste"
"Sao Mateus do Sul",6,"Leste"
"Uniao da Vitoria",6,"Leste"
